id,nombre,categoria,img,descripcion,marca,codigos,medidas,presentaciones,cantidades
"cinta-de-embalaje-elfa-pack","Cinta de Embalaje ELFA Pack","Embalaje y precintos","cinta-de-embalaje-elfa-pack.jpeg","CINTA DE EMBALAJE, ELFA PACK, • Es ideal para envolver, sellar y reparar., Se adhiere muy bien a las cajas de, cartón corrugado, papel, plástico y, otras superficies., Adhesivo de larga duración., • Medida completa., La cinta de embalaje es un producto, esencial para tu negocio., EN CAJA, EN PAQ., COPPORACION, VALUPLASTW","Valu Plast","","","",""
"precintos-de-nylon","Precintos de Nylon","Embalaje y precintos","precintos-de-nylon.jpeg","PRECINTO, DE NYLON, Absorbe la vibracion, aisla los cables de la abrasion y, proporciona protección contra la abrasión., Proporciona una capacidad de armar paquetes y opciones, de montaje flexible de cables y mangueras de distintos, tamaños., isooto, caen TO, BLANCO, i 'S CTO., ""LANCO, NECRO, ""scra, C IENTO","Schubirt","150002","","",""
"stretch-film","Stretch Film","Embalaje y precintos","stretch-film.jpeg","STRETCH FILM, • Fabricado con polietileno de, alta resistencia (PE)., • Buena adherencia sin, • Durabilidad garantizada., EN CAJA, convoaACiON, VALUPLASW","","","","",""
"stretch-film-presentaciones","Stretch Film Presentaciones","Embalaje y precintos","stretch-film-presentaciones.jpeg","STRETCH FILM, • Fabricado con polietileno de alta resistencia, • Buena adherencia sin necesidad de, adhesivos., • Durabilidad garantizada., CODICO, EN CAJA, convoaACiON, VALUPLASW","","","","",""
"producto-sin-nombre","Producto sin Nombre","General","producto-sin-nombre.jpeg","","","","","",""
"badilejo-mango-de-madera","Badilejo Mango de Madera","Herramientas manuales","badilejo-mango-de-madera.jpeg","BADILEJO, MANGO DE, MADERA, Hoja rigida de acero de mayor espesor., Mango de madera pulido y laqueado., Principalmente utilizada para alisar y nivelar diversas, superficies de concreto., C. MASTER","Schubirt","360013","","","C. MASTER 120"
"desarmador-intercambiable","Desarmador Intercambiable","Herramientas manuales","desarmador-intercambiable.jpeg","Desarmador de metal, DESARMADOR, INTERCAMBIABLE, C. MASTER","Schubirt","340001, 340003, 340005","60 MM, 75 MM, 90 MM","","CAJA 12 · C. MASTER 40 DOCENAS"
"plancha-de-batir-mango-de-madera","Plancha de Batir Mango de Madera","Herramientas manuales","plancha-de-batir-mango-de-madera.jpeg","s $CWBIRT, PLANCHA DE, BATIR CON, MANGO DE, MADERA, Superficie lisa y plana, diseñada para alisar superficies., Mango de madera para un mejor agarre y evitar quemaduras., Se puede usar para alisar concreto, nivelar superficies,, batir pequeñas cantidades de cemento., cõ01G0, MEDIOA, C. INTERNA","","360012","","","C. INTERNA 12 UND · MASTER 72 UND."
"plancha-de-empastar-mango-azul","Plancha de Empastar Mango Azul","Herramientas manuales","plancha-de-empastar-mango-azul.jpeg","Tipo de herramienta: lisa., PLANCHA DE, EMPASTAR, MANGO AZUL, ERGONÓMICO, paredes o techos, de forma uniforme y lisa., 11""X5"", C. INTERNA","Schubirt","360015","11""X5""","","C. INTERNA 12 UND · MASTER 60 UNO."
"limpia-metales-brasso","Limpia Metales Brasso","Limpieza y pulido","limpia-metales-brasso.jpeg","BRILLO, Brasso, VALUPLAST„c, LIMPIA METALES, PE R p Oes, BIEN ANTES DE LISAR","Brasso","","","",""
"pulidor-limpia-metales-brasso","Pulidor Limpia Metales Brasso","Limpieza y pulido","pulidor-limpia-metales-brasso.jpeg","Brasso, LIMPIA METALES, BIEN ANTES DE, BRASSO PULIDOR, Limpia y da brillo a hornillas, ceniceros y demás, objetos metálicos del hogar., Para partes cromadas de automóviles, bicicletas, v motos, en objetos y superficies de latón, cobre,, bronce, aluminio, acero, zinc, níquel y otros, metales, ideal para limpiar, pulir y quitar óxido., Distintas presentaciones para su uso y alcance, de necesidad sin desperdiciar el producto., La máxima calidad en el producto permite su, el gusto del cliente.","Brasso","","","",""
"cemento-de-contacto-terocano-baldes","Cemento de Contacto Terocano Baldes","Pintura y adhesivos","cemento-de-contacto-terocano-baldes.jpeg","Xiricanos, CEMENTO, VALUPLAST.c, ricanos, DE CONTACTO, Ficanos, POR CORP. VALU P","Terocano","","","",""
"cemento-de-contacto-terocano-lata","Cemento de Contacto Terocano Lata","Pintura y adhesivos","cemento-de-contacto-terocano-lata.jpeg","Terocano, VALUPLAST„c, CEMENTO, DE CONTACTO, GI-TEY, DE Terocan0, tero canc, GI.TEY, MENTOS PERUANOS, POR CORP, R.u.c.: 20606651544 PEGAMENTOS","Terocano","","","",""
"cemento-de-contacto-terocano-presentaciones","Cemento de Contacto Terocano Presentaciones","Pintura y adhesivos","cemento-de-contacto-terocano-presentaciones.jpeg","Terocano, CEMENTO, DE CONTACTO, GI-TEY, ECAMENTOS IIPERUANOS, POR CORP VALV PLAST, GI.TEY, ENTOS TE, CEMENTO DE CONTACTO, Es un adhesivo a base de caucho sintético,, resinas y aditivos, que asegura uniones de, envejecimiento., Fuerza adhesiva, resistencia térmica, la, vulcanizado., Pegamento que produce una fuerte adherencia, entre las partes que se desean pegar, a través, de una fuerte presión v la evaporación de los, solvente, efecto inmediato ideal para el tapicero","Terocano","","1/64 , 1/4 , 1/32 , 1/64","",""
"cemento-de-contacto-terocano-tarro","Cemento de Contacto Terocano Tarro","Pintura y adhesivos","cemento-de-contacto-terocano-tarro.jpeg","VA LU P LAS TsAc, Africanos, CEMENTO, DE comcT0, GI-TEY, IPEGAMENTOS IIPERUANO, - -LEA","Terocano","","","",""
"cemento-pvc-azul","Cemento PVC Azul","Pintura y adhesivos","cemento-pvc-azul.jpeg","CEMENTO PARA PVC, AZUL, Fabricado con la más alta calidad de, Distintas presentaciones para su uso y alcance, de necesidad sin desperdiciar el producto., -q.TEY, GI.TEYI","","","1/16 , 1/32 , 1/64 , 1/8 ","1/64 GL/ CA, 1/64 GL/ SA, 1/64 GL / CA, 1/32 GL, 1/16 GL, 1/64 GL / SA",""
"cemento-pvc-transparente","Cemento PVC Transparente","Pintura y adhesivos","cemento-pvc-transparente.jpeg","CEMENTO PARA PVC, TRANSPARENTE, Adhesivo disolvente de viscosidad regular,, de PVC hasta 4"" de diámetro en C-40 y hasta, 2"" de diámetro en C-80., ante muchos elementos., Distintas presentaciones para su uso y alcance, de necesidad sin desperdiciar el producto., PVC•rUNSPAR94TE, GI•TEY, ""GI.TE","","","1/16 , 1/64 , 1/32 , 1/8 ","1/64 GL / CA, 1/32 GL, 1/16 GL, 1/64 GL / SA, 1/8 GL",""
"pegatubos-especial-pvc","Pegatubos Especial PVC","Pintura y adhesivos","pegatubos-especial-pvc.jpeg","GI-TEY, Ferialeza en cada Apücaciin, PEGATUBOS ESPECIAL, Fortaleza en cada Aplicación, - TRANSPARENTE, PVC-AZUL, O EN PERO","GI-TEY","","","",""
"anillo-de-cera-con-guia-para-inodoro","Anillo de Cera con Guía Para Inodoro","Plomería","anillo-de-cera-con-guia-para-inodoro.jpeg","VALUPLASTsAc, EI mejor socio para tu negocio, ANILLO, DE CERA, CON GUÍA PARA INODORO, La solución profesional para, sellados perfectos., ALTA RESISTENCIA, Y DURABILIDAD, para un sellado perfecto., INSTALACIÓN, RÁPIDA Y SEGURA, Guía plástica que facilita la, colocación y el centrado., NO SE DEFORMA, NI SE SECA, Mantierve su forma y efectividad, por más tiempo.","Valu Plast","","","",""
"cano-cromado-modelo-bro","Caño Cromado Modelo BRO","Plomería","cano-cromado-modelo-bro.jpeg","CAÑO, CROMADO, MODELO BRO, Caño para lavatorio, con acabado cromado, que ofrece resistencia a la corrosión., Perilla de giro fácil, facilita la apertura y cierre, del flujo de agua con un giro suave., Instalación sencilla con conexiones estándar., uso cómodo en el día a día., C INTERNA, C. MASTER","Schubirt","034005","1/2","","C INTERNA 6 UND. · C. MASTER 72 UND."
"cano-deluxe-modelo-blacky","Caño Deluxe Modelo Blacky","Plomería","cano-deluxe-modelo-blacky.jpeg","Caño para lavatorio, con acabado de, Perilla de fácil giro y agarre., s SCHUBbff, CAÑO, DELUXE, MODELO BLACKY, Instalación sencilla con conexiones estándar., cómodo y práctico del agua., C. INTERNA, C. MASTER","","034004","","","C. INTERNA 6 UND. · C. MASTER 72 UND."
"cano-flexible-corrugado-1-2-plastificado","Caño Flexible Corrugado 1/2 Plastificado","Plomería","cano-flexible-corrugado-1-2-plastificado.jpeg","Manija cromada., s SCHUBlff, CAÑO FLEXIBLE, CORRUGADO, DE 112"", PLASTIFICADO, Vastago de bronce de 1/4 de giro., Pico ganzo de cuello flexible plastificado., CROMADO, C_ MASTER","","124010","1/4 ","","MASTER 50 UNO."
"cano-flexible-de-colores","Caño Flexible de Colores","Plomería","cano-flexible-de-colores.jpeg","Mango cromado., Cuello de silicona no tóxico., s SCHUBlff, CAÑO, FLEXIBLE DE, COLORES, Cabezal rociador cromado para plástico., ROJO, NARANJA, NEGRO, C, MAY, VER, VERDE","","124001, 124002, 124004","","",""
"cano-jardin-pesado-pvc-1-2-azul","Caño Jardín Pesado PVC 1/2 Azul","Plomería","cano-jardin-pesado-pvc-1-2-azul.jpeg","CAÑO PARA, JARDÍN, PESADO PVC, 112"", Presión maxima de trabajo: 150 PSI., Manija larga mas resistente y ergonomica que facilita la, apertura y cierre rápido., AZUL, C. MASTER","Schubirt","032001","","","C. MASTER 120 UND."
"cano-jardin-pvc-1-2-negro","Caño Jardín PVC 1/2 Negro","Plomería","cano-jardin-pvc-1-2-negro.jpeg","Presión máxima de trabajo: 150 PSI, s SCHUBlff, CAÑO PARA, JARDÍN DE, PVC 112"", NEGRO, C. MASTER","","032002","","","C. MASTER 200 UND."
"cano-luxury-cromado-modelo-afa","Caño Luxury Cromado Modelo AFA","Plomería","cano-luxury-cromado-modelo-afa.jpeg","s SCHUBbRT, CAÑO, LUXURY, CROMADO, MODELO AFA, Caño para lavatorio, con acabado cromado brillante., Perilla de giro fácil, con forma diamante., Instalación sencilla con conexiones estándar, cómodo y práctico del agua., C. INTERNA, C. MASTER","","034001","","","C. INTERNA 4 UND. · C. MASTER 48 UNO."
"cinta-teflon-amarilla-hermes","Cinta Teflón Amarilla Hermes","Plomería","cinta-teflon-amarilla-hermes.jpeg","VALUPLASTsAc, EI mejor socio para tu negocio, TEFLÓN, AMARILLO, O. Imm, 12mm x 0.1mm x 15m, CINTA PTFE PROFESIONAL, La cinta ideal para instalaciones, de gas y combustibles., ALTA RESISTENCIA, Y DURABILIDAD, alta calidad., USO EN GAS Y, COMBUSTIBLES, Apta para gas natural. GLP,, gasolina y diésel., SELLADO SEGURO, Y EFICIENTE","Hermes","","12mm x 0.1mm, 12mm, 0.1mm","",""
"cinta-teflon-roja-hermes","Cinta Teflón Roja Hermes","Plomería","cinta-teflon-roja-hermes.jpeg","VALU PLAST SAC, EI mejor socio para tu negocio, TEFLON, ROJO, HERMES, SELLADO HERMÉTICO, Evita fugas en uniones, roscadas., TEMPERATURAS, extremas., ALTA DURABILIDAD, Cinta 100% PTFE de, USO VERSÁTIL, Perfecta para plomería,, gasfitería e industria, en general., DE CALIDAD, c INTA","Hermes","","","",""
"llave-esferica-para-botadero","Llave Esférica Para Botadero","Plomería","llave-esferica-para-botadero.jpeg","Estructura de bronce cromado., Chorro directo, precisión de caída., s ISCHUBlff, LLAVE, ESFÉRICA, PARA, BOTADERO, C. MASTER","","031002","","","CAJA 12 UNO. · C. MASTER 120 UNO."
"union-universal-doble-1-2","Union Universal Doble 1/2","Plomería","union-universal-doble-1-2.jpeg","UNIÓN, UNIVERSAL, DOBLE 112"", Presión máxima de trabajo: 150 psi., Apertura y cierra rápido de 1/4 de giro., No son aptas para regulacion ni para uso con aire o, gases comprimidos., C. MASTER","Schubirt","032003","1/4 ","","C. MASTER 150 UND."
"valvula-esferica-1-2","Válvula Esférica 1/2","Plomería","valvula-esferica-1-2.jpeg","s SCHUBBRT, VÁLVULA, ESFÉRICA DE, Temperatura máxima de trabajo: 1200C, Temperatura de trabajo mínima: -200C, Presión para aire comprimido: PN20., Hilos: NPT hembra., Presión maxima: PN50., U. MEDIDA, C. INTERNA, IOUND., C. MASTER","","031009","","","C. MASTER 100 UND."
"valvula-esferica-pvc","Válvula Esférica PVC","Plomería","valvula-esferica-pvc.jpeg","VÁLVULA, ESFÉRICA, Fabricada integramente en PVC, cuenta, con un cierre esférico y de paso total., Presión de funcionamiento: 150 psi., Perilla 1/4 de giro.","Schubirt","032004, 032005, 032006, 032007","1/4 ","",""
"valvulas-y-cano-jardin-nuevos-ingresos","Válvulas y Caño Jardín Nuevos Ingresos","Plomería","valvulas-y-cano-jardin-nuevos-ingresos.jpeg","iNUEvos, VALU PLAST, Todo 10 que necesitas para tus instalaciones, VÁLVULA DOBLE, UNIVERSAL DE 1/2"", CAÑO JARDíN 1/2"", VÁLVULA 1/2"", CON ROSCA, CAÑO JARDÍN 1/3"", SIN ROSCA, UNIÓN UNIVERSAL, IDEALES PARA, TODO TIPO DE, gonoc cali7nd, donzoó Vatu Rad.","Valu Plast","","1/2","","CAJA: 150 · CAJA: 200 · CAJA: 300"
"candado-de-bronce","Candado de Bronce","Seguridad","candado-de-bronce.jpeg","CANDADO, BRONCE, CANDADO DE BRONCE, Cilindro de 5 pines para una mayor resistencia., Alta resistencia a la corrosión.","Schubirt","140002, 140003, 140004","20 MM, 25 MM, 40 MM","","MASTER 240 pcs"
"candado-de-bronce-arco-largo","Candado de Bronce Arco Largo","Seguridad","candado-de-bronce-arco-largo.jpeg","CANDADO DE, BRONCE DE, ARCO LARGO, Cilindro de 5 pines para una mayor resistencia., Alta resistencia a la corrosión., C. INTERNA, C MASTER","Schubirt","140009","40 MM","","C. INTERNA 12 UNO. · C MASTER 96 pcs"
